Dataset,Dependent_Variable,Metric,AIC,BIC,Pseudo_R2,Parameter,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
5 segments,Staging_z,Literary Quality,5489.769228358633,-13401.332231078366,0.09951798084639685,Intercept,0.7505083446887176,0.13655447821138397,5.496036120667853,3.8842298246020065e-08,0.4828664854667455,1.0181502039106898
5 segments,Staging_z,Literary Quality,5489.769228358633,-13401.332231078366,0.09951798084639685,"np.power(Relative_Segment, 1)",-2.5917995935187785,0.21158171088442335,-12.249639076482138,1.6874522487089346e-34,-3.0064921266396145,-2.1771070603979426
5 segments,Staging_z,Literary Quality,5489.769228358633,-13401.332231078366,0.09951798084639685,"np.power(Relative_Segment, 2)",1.454377205521803,0.3184020360294466,4.567738396582673,4.9301480338028836e-06,0.8303206822998629,2.078433728743743
5 segments,Staging_z,Literary Quality,5489.769228358633,-13401.332231078366,0.09951798084639685,Literary_Quality,-0.0399090315712896,0.03012017122352712,-1.3249935159769715,0.18517330190224668,-0.09894348237758249,0.019125419235003292
5 segments,Staging_z,Literary Quality,5489.769228358633,-13401.332231078366,0.09951798084639685,"np.power(Relative_Segment, 2):Literary_Quality",0.1064240841901078,0.05727443190228613,1.8581429907794484,0.06314871120033927,-0.0058317395733649,0.2186799079535805
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,Intercept,0.5661626532346072,0.06180382621826061,9.16064081914929,5.159003900885561e-20,0.4450293797400441,0.6872959267291704
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,literary_category[T.Medium],0.07863829856567724,0.07404895803415538,1.061977111540246,0.2882460761063377,-0.06649499227398521,0.2237715894053397
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,literary_category[T.High],-0.03895204079518535,0.07418801723276455,-0.5250449095164992,0.5995519717127542,-0.18435788265584077,0.10645380106547006
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,"np.power(Relative_Segment, 1)",-2.5917995935187568,0.21159858529807696,-12.24866220096752,1.7078998585861328e-34,-3.0065251998826144,-2.177073987154899
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,"np.power(Relative_Segment, 2)",1.9459657160660582,0.21856813497513664,8.903245279955483,5.423714758818945e-19,1.517580043346701,2.3743513887854153
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,"np.power(Relative_Segment, 2):literary_category[T.Medium]",-0.20970212950847725,0.14080637101590235,-1.4892943266380607,0.13640988103731683,-0.48567754549343034,0.06627328647647587
5 segments,Staging_z,Literary Category,5492.083024572779,-13387.643190282486,0.10027496732200947,"np.power(Relative_Segment, 2):literary_category[T.High]",0.10387210878716252,0.14107079635870587,0.73631191903846,0.46154089425426137,-0.1726215713462852,0.38036578892061024
5 segments,Staging_z,General Quality,5490.948870530298,-13400.269671965958,0.09898802617686675,Intercept,0.992369129195066,0.38650041429724435,2.5675758485264355,0.01024123816765282,0.23484223716265729,1.7498960212274748
5 segments,Staging_z,General Quality,5490.948870530298,-13400.269671965958,0.09898802617686675,"np.power(Relative_Segment, 1)",-2.5917995935187794,0.21164396211240452,-12.24603606760239,1.764097611748783e-34,-3.006614136804452,-2.1769850502331067
5 segments,Staging_z,General Quality,5490.948870530298,-13400.269671965958,0.09898802617686675,"np.power(Relative_Segment, 2)",0.8094151135048412,0.7577041456619628,1.0682469115933126,0.28540914879544543,-0.6756577229292969,2.294487949938979
5 segments,Staging_z,General Quality,5490.948870530298,-13400.269671965958,0.09898802617686675,General_Quality,-0.07337642331269371,0.06823340799037766,-1.075373859723397,0.28220738026992354,-0.20711144551626148,0.06035859889087407
5 segments,Staging_z,General Quality,5490.948870530298,-13400.269671965958,0.09898802617686675,"np.power(Relative_Segment, 2):General_Quality",0.1956704621671909,0.12974792375526872,1.5080816440366756,0.1315336325603037,-0.058630795461984714,0.4499717197963665
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,Intercept,0.6085779335360908,0.06135701770774108,9.918636144196263,3.4544399926696576e-23,0.48832038863013194,0.7288354784420497
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,general_category[T.Medium],-0.011208376667472285,0.07397316437813498,-0.15151949712705898,0.8795659319106937,-0.1561931146710781,0.13377636133613352
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,general_category[T.High],-0.07706144771773245,0.07397316437813421,-1.0417486985389948,0.2975282045281036,-0.22204618572133678,0.06792329028587187
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,"np.power(Relative_Segment, 1)",-2.5917995935187794,0.2117394169561012,-12.240515397546991,1.8882971927734773e-34,-3.0068012248602476,-2.1767979621773113
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,"np.power(Relative_Segment, 2)",1.8328583019287983,0.2182161184244826,8.39928010433881,4.492240926031947e-17,1.405162568970685,2.2605540348869115
